Analista Pleno,"Prós: Oportunidade de Aprendizado, grande quantidade de cursos online para capacitação, diversas oportunidades de crescimento, pacote de benefícios interessantes Contras: Baixo salário em relação ao mercado em relação as demais consultorias do mesmo ramo, principalmente nas áreas de TI. É uma ótima empresa para começo de carreira.   ",0,Função não relacionada a área de TI
Comprador,"Prós: boa empresa para se trabalhar, mas é muito burocrática e os processos internos muito demorados o que atrasa alguns prazos. POR SER UMA ESMPRESA DE TECNOLOGIA DEVERIA TER UM SISTEMA MAIS INTEGRADO Q FACILITASSE O DIA A DIA DO FUNCIONARIO. Contras: boa empresa para se trabalhar, mas é muito burocrática e os processos internos muito demorados o que atrasa alguns prazos. POR SER UMA EMPRESA DE TECNOLOGIA DEVERIA TER UM SISTEMA MAIS INTEGRADO.   ",0,Função não relacionada a área de TI
"Assistente Administrativo - Ex-funcionário, saiu em 2012","Prós: Autonomia, prédio maravilhoso, benefícios, oportunidade de crescimento. Time unido Contras: Uma empresa pronta para receber seus funcionários; e vc tem q estar pronto para ser o dono da sua função e trabalho, eu amava o que eu fazia então não tinha do que reclamar   ",1,Função não relacionada a área de TI
Supervisor de TI Sênior,"Prós: Oferece bastante beneficios, dental, saúde, seguro de vida, ticket refeição ou alimentação, disponibiliza o básico de estrutura de trabalho. Contras: RH ruim e nenhuma oportunidade de crescimento. Falta de Falta de comprometimento das lideranças em manter um ambiente tranquilo para se trabalhar. Não oferece treinamento e capacitação. Conselhos para presidência: O melhor ativo da empresa são seus funcionarios! Quando há valorização ambas as partes saem ganhando.   ",0,Função não relacionada a área de TI
"Técnico de Campo Pleno - Ex-funcionário, saiu em 2018","Prós: A empresa tem flexibilidade de horario, dependendo da sua área claro. Os beneficios são muito bons, e tem um politica de ouvir os empregados. Disponibiliza varias ferramentas para manter os empregados atualizados, e sempre informados. Contras: Nem todos os gestores cooperam para o crescimento profissional do time. A empresa tem se emprenhado para desenvolver os empregados e acredito que eles terão muito sucesso se manterem os trabalhos que vem sendo feito.   ",1,Função não relacionada a área de TI
"Program Manager - Ex-funcionário, saiu em 2014","Prós: Empresa oferece bastante oportunidades de cursos, treinamentos e certificações Uso do inglês é bem frequente dependendo do time, o que é ótimo para quem deseja praticar o idioma. O cuidado com o funcionário é bem vísivel tendo em vista a quantidade de iniciativas que existem visando a qualidade de vida dos empregados (negros, LGBTQ+, etc...). Contras: Alguns desenvolvedores são extremamente arrogantes, contrariando o que a empresa prega, que é respeito ao funcionário e às diferenças. No meu time, não houve um cuidado em treinamentos para que eu pudesse conhecer melhor o meu time e as pessoas ao meu redor. Conselhos para presidência: Propiciar treinamentos e atividades de integração entre os funcionários e também com outros times cross-segments.   ",1,Função não relacionada a área de TI
Senior Manager,"Prós: Empresa internacional, oportunidades de projetos com clientes variados de diferentes industrias e possibilidade de viajar ao exterior. Colegas de alto nivel. Contras: A empresa deve continuar fazendo o que sempre fez e desta maneira seguira sendo lider de mercado nos varios segmentos onde atua. Aconselho a gerencia a inspirar os funcionarios. ",0,Função não relacionada a área de TI
Estagiário,"Prós: Uma empresa multinacional, com grande participação no segmento de tecnologia e que possui boas oportunidades de carreira para quem procura uma grande companhia para se desenvolver Contras: Valor dos benefícios baixo e gestão de pessoas um pouco fraca. Não há plano de carreiras bem definido e por conta desses fatores acaba que não conseguem reter bons talentos   ",0,Função não relacionada a área de TI
Gerente,"Prós: Benefícios e possibilidade de desenvolvimento. Programas e projetos super alinhados com as tendências de gestão. Liberdade de horário e dress code e clima de trabalho excepcional Contras: Poderia oferecer melhores oportunidades de crescimento para colaboradores fora de SP. Há muitas vagas internas para colaboradores nestas cidades que nem sempre são disponibilizadas para pessoas das regionais. Conselhos para presidência: Valorizar os times que não são da área comercial.""",0,Função não relacionada a área de TI
Funcionário,"Prós: A empresa tem alguns projetos bem interessantes na área de desenvolvimento, principalmente no site do Eldorado, que tem muitos projetos com novidades e dependendo da área que você irá atuar o horário flexível. Contras: Acredito que por ser uma empresa grande, o maior ponto negativo é na gestão, funciona para algumas áreas e para outra nem tanto. Outro ponto negativo são as vagas disponíveis, um exemplo disso é no caso de estagiário, se a área tem 3 estagiários e 1 vaga, provavelmente os 2 não vão ser efetivados. Conselhos para presidência: Pensar um pouco mais no bem estar dos funcionário, ouvir funcionário de uma forma mais próxima para que a empresa possa entender insatisfações e fazer uma melhor gestão de vagas disponíveis.   ",0,Função não relacionada a área de TI
